,altura,direccionviento,fechainstalacion,fechamuestra,humedad,latitud,localidad,longitud,nombre,nota,numero,operativa,precipitaciondia,precipitacionmes,precipitacionsemana,provincia,puntorocio,sensaciontermica,temperatura,temperaturamaxima,temperaturaminima,velocidadviento,u,v
40,30,,01/07/2014,2016-08-04 13:30:00+00:00,97,-33.2578,Marcos Juárez,-62.1171,Corral de Bustos - 94062,--,94062,1,0.2,0.6,1.2,Córdoba,11.5,11.9,11.9,11.9,4.6,,,
41,30,,04/01/2013,2016-08-04 12:40:00+00:00,100,-32.081,Union,-62.7975,Corral del Bajo - 94017,--,94017,1,0.2,0.8,1.4,Córdoba,8.2,8.2,8.2,8.2,4.5,,,
42,30,,24/06/2016,2016-08-04 13:30:00+00:00,79,-32.0418,Tercero Arriba,-64.1802,Corralito - 94079,--,94079,1,0,0.2,0.2,Cordoba,9.3,12.9,12.9,12.9,2.8,,,
43,30,,30/01/2013,2016-08-04 13:30:00+00:00,95,-31.7503,Santa Marí­a,-64.1564,Cosme Sur - 94022,--,94022,1,0.2,0.6,0.6,Córdoba,7.3,8.1,8.1,8.1,2.2,,,
44,30,,14/07/2015,2016-08-04 13:30:00+00:00,96,-33.0153,Marcos Juarez,-61.8664,Cruz Alta -94069,--,94069,1,0.2,0.6,1,Cordoba,11.2,11.8,11.8,11.8,4.9,,,
45,30,,04/01/2013,2016-08-04 11:10:00+00:00,98,-31.0549,Rio Primero,-63.4999,El Crispi­n - 94015,--,94015,1,0.2,0.6,0.8,Córdoba,3.8,4.1,4.1,5.5,2.5,,,
46,30,,18/08/2015,2016-08-04 13:30:00+00:00,94,-32.1089,Union,-62.3331,El Florentino - 94072,--,94072,1,0.2,0.6,1,Cordoba,10.2,11,11,11.6,5.2,,,
47,30,,26/03/2013,2016-08-04 13:30:00+00:00,83,-29.9405,Rio Seco,-63.6085,Eufrasio Loza - 94024,--,94024,1,0,0.2,0.4,Córdoba,14.4,17.3,17.3,17.3,4.9,,,
48,30,0,18/07/2014,2016-08-04 13:30:00+00:00,100,-33.0626,Marco Juarez,-62.3446,General Baldissera - 34112,--,34112,1,0.2,0.4,1.2,Córdoba,11.7,11.7,11.7,11.7,3.1,2.8,-0.0,-2.799999952316284
49,30,,18/07/2013,2016-08-04 13:30:00+00:00,91,-32.8154,Juarez Celman,-63.6846,General Deheza-94041,--,94041,1,0,0.6,1,Córdoba,11.2,12.6,12.6,12.6,2.2,,,
50,30,,04/10/2013,2016-08-04 13:30:00+00:00,90,-34.0147,Roque Sáenz Peña,-63.9384,General Levalle - 94051,--,94051,1,0,0.4,0.6,Córdoba,10.5,12.1,12.1,12.1,2.8,,,
51,30,,11/06/2013,2016-08-04 13:30:00+00:00,83,-31.0953,Colón,-64.1338,Gral. Paz - 94034,--,94034,1,0.2,0.6,0.6,Córdoba,10.2,12.9,12.9,12.9,4.8,,,
52,30,,30/05/2013,2016-08-04 13:30:00+00:00,94,-33.4647,Marcos Juarez,-62.4031,Guatimozín - 94032,--,94032,1,0.2,0.6,1,Córdoba,9.7,10.6,10.6,10.6,4.7,,,
53,0,270,26/12/2013,2016-08-04 13:30:00+00:00,94,-32.4553,Hernando,-63.7,Hernando - 34109,--,34109,1,0.2,1.2,1.6,Córdoba,8.1,12.6,9,9,0.7,0.2,0.20000000298023224,-2.384976216518453e-09
54,30,,23/05/2013,2016-08-04 13:30:00+00:00,87,-33.5604,Juarez Celman,-63.6578,Huanchilla - 94030,--,94030,1,0,0.6,1,Córdoba,11.4,13.6,13.6,13.6,2.3,,,
55,30,,25/07/2012,2016-08-04 13:30:00+00:00,93,-34.7072,General Roca,-64.3766,Huinca Renancó ZR - 94047,--,94047,1,0.2,0.6,1.4,Córdoba,6.8,7.8,7.8,7.8,2,,,
56,30,,07/07/2016,2016-08-04 13:30:00+00:00,95,-32.94,Marcos Juárez,-62.245,Inriville - 94082,--,94082,1,0,0,0,Cordoba,11.9,12.8,12.8,12.8,5.6,,,
57,30,,03/07/2013,2016-08-04 13:30:00+00:00,96,-33.305,Marcos Juarez,-62.433,Isla Verde - 94036,--,94036,1,0.2,0.6,1,Córdoba,9.3,10,10,10,5.6,,,
58,30,,04/10/2012,2016-08-04 13:30:00+00:00,97,-32.0571,Tercero Arriba,-63.4583,James Craik -94002,--,94002,1,0.2,0.8,1.2,Córdoba,9.2,9.7,9.7,9.7,2.3,,,
59,30,0,01/12/2015,2016-08-04 13:30:00+00:00,82,-30.9822,Colon,-64.0441,Jesús María - 34117,--,34117,1,0,0.2,0.4,Cordoba,10.5,13.5,13.5,13.5,5.1,5.7,-0.0,-5.699999809265137
60,30,,04/08/2015,2016-08-04 13:30:00+00:00,97,-33.395,Juarez Celman,-63.2892,La Carlota - 94071,--,94071,1,0,1,1.6,Cordoba,8.5,9,9,9,2.3,,,
61,30,,09/01/2014,2016-08-04 13:30:00+00:00,71,-33.2166,Rio Cuarto,-64.665,La Carolina de Potosí - 94058,--,94058,1,0,0.2,0.4,Córdoba,9.6,14.8,14.8,14.8,2.6,,,
62,30,,24/06/2016,2016-08-04 13:30:00+00:00,86,-32.3189,Calamuchita,-64.4915,La Cruz - 94078,--,94078,1,0.2,0.8,0.8,Cordoba,7.9,10.1,10.1,10.1,0.9,,,
63,0,,23/12/2013,2016-08-04 13:30:00+00:00,99,-31.4483,La Francia,-62.6817,La Francia - 94055,--,94055,1,0.2,0.6,1.2,Córdoba,10.4,10.6,10.6,10.6,4.2,,,
64,30,,22/04/2013,2016-08-04 07:50:00+00:00,93,-34.7877,General Roca,-64.9563,La Nacional - 94026,--,94026,1,0,0.2,0.4,Córdoba,2.3,3.3,3.3,8.2,3.3,,,
65,30,,25/09/2015,2016-08-04 13:30:00+00:00,98,-31.0912,Rio Primero,-63.188,Las Gramillas - 94075,--,94075,1,0.2,0.6,0.6,COrdoba,10,10.3,10.3,10.3,3.2,,,
66,59,0,22/01/2015,2016-08-04 13:30:00+00:00,100,-31.8315,Rio Segundo,-63.4327,Las Junturas - 34115,--,34115,1,0,0.6,0.8,Córdoba,7.8,7.8,7.8,8.8,1.4,0,-0.0,-0.0
67,30,,20/12/2012,2016-08-04 13:30:00+00:00,88,-32.4817,Rio Cuarto,-64.1032,Las Peñas Sur - 94012,--,94012,1,0.2,0.4,0.6,Córdoba,11.2,13.2,13.2,13.2,2.4,,,
68,30,,22/05/2013,2016-08-04 13:10:00+00:00,100,-31.7736,San Justo,-62.7331,Las Varillas - 94028,--,94028,1,0,0.4,1,Córdoba,--,--,,--,--,,,
69,30,,30/06/2016,2016-08-04 13:30:00+00:00,96,-32.6465,Marcos Juárez,-62.3154,Leones -  94080,--,94080,1,0,0,0,Cordoba,10.9,11.6,11.6,11.6,5.6,,,
70,30,,09/11/2012,2016-08-04 13:30:00+00:00,77,-31.9683,San Javier,-65.4906,Los Cerrillos - 94006,--,94006,1,0,0,0,Córdoba,7.4,11.3,11.3,11.3,3.6,,,
71,30,0,24/05/2013,2016-08-04 13:30:00+00:00,98,-34.3401,Pte. Roque Saenz Peña,-63.475,Melo - 34106,--,34106,1,0.2,1,1.2,Córdoba,8.9,9.3,9.3,9.3,5.7,0,-0.0,-0.0
72,30,,03/07/2013,2016-08-04 13:30:00+00:00,100,-32.9286,Marcos Juarez,-62.5061,Monte Buey - 94037,--,94037,1,0.2,0.6,0.8,Córdoba,11.3,11.3,11.3,11.3,2.9,,,
73,30,270,21/12/2012,2016-08-04 13:30:00+00:00,100,-31.3404,Rio Primero,-63.8293,Monte Cristo ZR - 34104,--,34104,1,0.2,0.8,1,Córdoba,7.3,6.4,7.3,7.3,1.3,6.1,6.099999904632568,-7.274176994087611e-08
74,59,0,09/12/2015,2016-08-04 13:30:00+00:00,100,-33.2032,Union,-62.6544,Monte Maíz - 34116,--,34116,1,0.2,1,1.2,Cordoba,8.1,8.1,8.1,8.1,3.7,0,-0.0,-0.0
75,30,,05/11/2013,2016-08-04 13:30:00+00:00,100,-30.6808,San Justo,-62.0266,Morteros - 94050,--,94050,1,0.2,0.4,0.8,Córdoba,13.3,13.3,13.3,13.8,8,,,
